"Data table for Figure 4. Age-adjusted trend in hypertension prevalence among adults aged 18 and over, by sex: United States, 1999–2018",,,
,Percent (standard error),,
Survey Period ,All,Men ,Women
1999-2000,47.0 (1.4),51.7 (1.8),42.0 (1.5)
2001-2002,46.0 (1.3),50.2 (2.1),41.5 (1.2)
2003-2004,44.9 (1.3),49.1 (1.7),40.3 (1.2)
2005-2006,43.8 (1.1),48.1 (1.4),39.0 (1.2)
2007-2008,43.2 (0.9),46.8 (1.0),39.5 (1.1)
2009-2010,42.1 (1.2),45.5 (1.7),38.4 (1.0)
2011-2012,43.9 (0.9),47.7 (1.4),39.9 (1.1)
2013-2014,41.7 (0.8) ,45.2 (1.3),38.2 (1.1)
2015-2016,43.6 (1.1),47.2 (1.6),39.7 (1.3)
2017-2018,45.4 (1.4),51.0 (1.8),39.7 (1.5)
