County,Value
Appling,19.6
Atkinson,17.1
Bacon,16.7
Baker,44.9
Baldwin,42.6
Banks,2.8
Barrow,12.5
Bartow,11.3
Ben Hill,36.1
Berrien,11
Bibb,55.5
Bleckley,26.6
Brantley,3.6
Brooks,34.9
Bryan,14.8
Bulloch,29.6
Burke,47.4
Butts,28.7
Calhoun,61
Camden,19.2
Candler,24.7
Carroll,19.6
Catoosa,2.9
Charlton,29.3
Chatham,41
Chattahoochee,20.2
Chattooga,10
Cherokee,7.4
Clarke,28.5
Clay,60.5
Clayton,72.1
Clinch,27.4
Cobb,28.7
Coffee,28.5
Colquitt,23.6
Columbia,18.4
Cook,27.9
Coweta,18.4
Crawford,20.8
Crisp,44.6
Dade,1.2
Dawson,0.9
Decatur,42.7
DeKalb,54.9
Dodge,30.2
Dooly,50
Dougherty,70.9
Douglas,48.4
Early,51.4
Echols,5.7
Effingham,14.1
Elbert,28.9
Emanuel,34.8
Evans,31.4
Fannin,0.8
Fayette,24.3
Floyd,14.9
Forsyth,4.1
Franklin,9.7
Fulton,44.5
Gilmer,1.3
Glascock,9
Glynn,26.9
Gordon,4.4
Grady,29.7
Greene,33.9
Gwinnett,29.3
Habersham,4.1
Hall,8.1
Hancock,71.2
Haralson,4.7
Harris,16.7
Hart,19.1
Heard,9.8
Henry,46.6
Houston,32.3
Irwin,28
Jackson,7.3
Jasper,20
Jeff Davis,15.2
Jefferson,52.9
Jenkins,43.3
Johnson,34.2
Jones,25.1
Lamar,30.6
Lanier,22.2
Laurens,37.3
Lee,22
Liberty,44.5
Lincoln,29.1
Long,27.1
Lowndes,37.1
Lumpkin,1.8
Macon,60.3
Madison,9.3
Marion,31.7
McDuffie,41.7
McIntosh,33.8
Meriwether,39
Miller,28.3
Mitchell,48.1
Monroe,22.7
Montgomery,25.8
Morgan,22.3
Murray,1.2
Muscogee,47.8
Newton,46.6
Oconee,5.3
Oglethorpe,17.2
Paulding,20.8
Peach,44.6
Pickens,1.2
Pierce,8.8
Pike,9.3
Polk,12.8
Pulaski,31.6
Putnam,26.7
Quitman,47.3
Rabun,1.6
Randolph,61.5
Richmond,57.1
Rockdale,57
Schley,20.1
Screven,41.3
Seminole,32.9
Spalding,34.6
Stephens,11
Stewart,48.7
Sumter,53.1
Talbot,55
Taliaferro,54.2
Tattnall,30.1
Taylor,38.8
Telfair,37.2
Terrell,60.4
Thomas,36.2
Tift,30.6
Toombs,26.5
Towns,1.3
Treutlen,31.7
Troup,36.6
Turner,40.7
Twiggs,40.5
Union,0.9
Upson,28.5
Walker,4.5
Walton,18.5
Ware,30.2
Warren,59
Washington,53.7
Wayne,20.1
Webster,42.1
Wheeler,37.8
White,2
Whitfield,4.4
Wilcox,34.9
Wilkes,41.4
Wilkinson,38.4
Worth,28.2
